Gata,Stadur,Verd,Fasteignamat,Brunabotamat,Ahvilandi,Tegund,Byggingarar,Size,Herbergi,Svefnherbergi,Stofur,Badherbergi,Inngangur,Bilskur,Dags.sott,Nybygging
Lindarbraut 635,Reykjanesbæ,18900000,15500000,20800000,0,Fjölbýli,1956,57.9,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Torfufell 46,Reykjavík,34900000,35150000,30700000,0,Fjölbýli,1974,97.7,4,3,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Berjavellir 6A,Hafnarfirði,39900000,37550000,29150000,0,Fjölbýli,2004,86.2,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Klapparholt 3,Hafnarfirði,84900000,76900000,66900000,0,Einbýli,1992,208.6,5,3,2,2,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Neshagi 9,Reykjavík,37900000,41000000,26050000,0,Fjölbýli,1953,81.1,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Bústaðavegur 91,Reykjavík,NA,39350000,24850000,0,Fjölbýli,1952,75.8,3,2,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Vesturás 12,Reykjavík,77500000,62600000,54150000,0,Par/Raðhús,1994,168,5,4,1,1,Sérinngangur,Já,2020-03-21,Nei / Ekki vitað
Brattahlíð 46 201,Mosfellsbæ,57900000,23650000,0,0,Fjölbýli,2019,111.4,4,3,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Brattahlíð 44 202,Mosfellsbæ,57900000,23650000,0,0,Fjölbýli,2019,111.4,4,3,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Brattahlíð 42 201,Mosfellsbæ,57900000,37000000,0,0,Fjölbýli,2019,111.4,4,3,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Já
Brattahlíð 40 202,Mosfellsbæ,57900000,49700000,0,0,Fjölbýli,2019,111.4,4,3,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Já
Háskjólabyggð,Borgarnesi,19900000,17850000,22600000,0,Sumarhús,1996,61.5,4,3,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Hraunbær 70,Reykjavík,39900000,36500000,30450000,0,Fjölbýli,1968,94.8,4,3,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Gvendargeisli 2,Reykjavík,49900000,40550000,39270000,0,Fjölbýli,2003,105,4,3,1,0,Ekki vitað,Já,2020-03-21,Nei / Ekki vitað
Brekkugata 1 - Íbúð 203,Garðabæ,57500000,23450000,0,0,Fjölbýli,2019,112.4,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Já
Brekkugata 3 - Íbúð 307,Garðabæ,73500000,27300000,0,0,Fjölbýli,2019,140.3,5,4,1,1,Sameiginlegur,Já,2020-03-21,Já
Brekkugata 3 - íbúð 207,Garðabæ,69800000,27250000,0,0,Fjölbýli,2019,140.5,4,3,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Já
Skólagarður 12,Húsavík,NA,32950000,50550000,0,Fjölbýli,1963,170.6,5,5,2,2,Tveir inngangar,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
